sno,registration_no,project_name,promoter_name,district,project_type
983,UPRERAPRJ123818/06/2026,SVG GOLF AVENUE,SVG BUILDECH LLP,Gautam Buddha Nagar,Commercial
984,UPRERAPRJ15276,SVG HIGHTES,SHRIVINAYAKA REALTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
985,UPRERAPRJ629900/09/2025,SVG TOWNSQUARE-2,VINAYAKA EXPO PLAZA PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
986,UPRERAPRJ14917,SWARN PLAZA,VINAYAKA SHOPPING COMPLEX PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
987,UPRERAPRJ9892,"T1, NX ONE (Formerly prabhuprem advantage)",S.P.SAI.IT.PVT. LTD,Gautam Buddha Nagar,Commercial
988,UPRERAPRJ14115,Tech Park IT PHASE-1 (A),ULTRA HOME CONSTRUCTION PVT LTD,Gautam Buddha Nagar,Commercial
989,UPRERAPRJ14118,Tech Park IT PHASE-2 (B & C),ULTRA HOME CONSTRUCTION PVT LTD,Gautam Buddha Nagar,Commercial
990,UPRERAPRJ14119,"Tech Park PHASE-3 (West Galleria Mall & Hotel,BANK+ INT.+REST.+ CLUB+ MEETING ROOM)",ULTRA HOME CONSTRUCTION PVT LTD,Gautam Buddha Nagar,Commercial
991,UPRERAPRJ14120,Tech Park Residential Phase-4,ULTRA HOME CONSTRUCTION PVT LTD,Gautam Buddha Nagar,Residential
992,UPRERAPRJ611410/03/2024,TERMINAL 21,Galactic City Private Limited; ELEGANT IT SOLUTIONS PVT. LTD.,Gautam Buddha Nagar,Commercial
993,UPRERAPRJ6846,The Aranya Phase 1,Unnati Fortune Holdings Ltd,Gautam Buddha Nagar,Residential
994,UPRERAPRJ6974,The Aranya Phase 2,Unnati Fortune Holdings Ltd,Gautam Buddha Nagar,Residential
995,UPRERAPRJ6988,The Aranya Phase 3(De-Registered Project),Unnati Fortune Holdings Ltd,Gautam Buddha Nagar,Residential
996,UPRERAPRJ7010,The Aranya Phase 4(De-Registered Project),Unnati Fortune Holdings Ltd,Gautam Buddha Nagar,Residential
997,UPRERAPRJ7028,The Aranya Phase 5 (Commercial)(De-Registered Project),Unnati Fortune Holdings Ltd,Gautam Buddha Nagar,Residential
998,UPRERAPRJ228846,The Brook- Phase 1,Blessings Homz Pvt Ltd; BLESSINGS HOMZ PVT LTD,Gautam Buddha Nagar,Residential
999,UPRERAPRJ535539/09/2024,THE BROOK PHASE-2,Blessings Homz Pvt Ltd,Gautam Buddha Nagar,Residential
1000,UPRERAPRJ5805,THE DOWNTOWN,GRANITE HILL PROPERTIES PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1001,UPRERAPRJ969677/03/2024,The Elysium,Omnis Developers Private Limited,Gautam Buddha Nagar,Residential
1002,UPRERAPRJ555694,THE EXPRESS PARK VIEW II- LOW RISE APARTMENTS,IITL-NIMBUS THE EXPRESS PARK VIEW,Gautam Buddha Nagar,Residential
1003,UPRERAPRJ184164,The Flagship Phase 1,IT INFRASTRUCTURE PARK PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1004,UPRERAPRJ893178,THE FLAGSHIP PHASE 2,IT INFRASTRUCTURE PARK PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1005,UPRERAPRJ161225/04/2024,The Flagship Phase 3,IT INFRASTRUCTURE PARK PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1006,UPRERAPRJ683511/10/2024,THE FLAGSHIP PHASE 4,IT INFRASTRUCTURE PARK PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1007,UPRERAPRJ388326/05/2026,The Flagship Phase 5,IT INFRASTRUCTURE PARK PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1008,UPRERAPRJ794678/09/2024,The G,GULSHAN HOMES AND INFRASTRUCTURE  PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1009,UPRERAPRJ11031,THE GOLDEN PALM VILLAGE (PHASE-I),IITL-NIMBUS THE PALM VILLAGE,Gautam Buddha Nagar,Residential
1010,UPRERAPRJ10240,"THE GOLDEN PALMS (TOWER A,B,L,M,N)",CAPITAL INFRAPROJECTS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1011,UPRERAPRJ10275,THE GOLDEN PALMS (TOWER-O),CAPITAL INFRAPROJECTS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1012,UPRERAPRJ6522,The Golf Address,implex infrastructure pvt. ltd.,Gautam Buddha Nagar,Residential
1013,UPRERAPRJ439474,THE GOLF STREET HUB,GEN X ESTATE LLP,Gautam Buddha Nagar,Commercial
1014,UPRERAPRJ4232,The Hemisphere_Phase-1,Royalgolf link city projects private limited,Gautam Buddha Nagar,Residential
1015,UPRERAPRJ15465,The Hemisphere_Phase-1_Towers,Royalgolf link city projects private limited,Gautam Buddha Nagar,Residential
1016,UPRERAPRJ15487,The Hemisphere_Royalgolf Plaza,Royalgolf link city projects private limited,Gautam Buddha Nagar,Commercial
1017,UPRERAPRJ10368,The Iconic Corenthum,BEAVER INTERNATIONAL (INDIA) PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1018,UPRERAPRJ734569,THE ISLANDS,Gaursons India Private Limited,Gautam Buddha Nagar,Residential
1019,UPRERAPRJ4327,The Jewel of Noida (Phase I),E HOMES INFRASTRUCTURE PVT LTD,Gautam Buddha Nagar,Residential
1020,UPRERAPRJ4350,The Jewel of Noida (Phase II),E HOMES INFRASTRUCTURE PVT LTD,Gautam Buddha Nagar,Residential
1021,UPRERAPRJ498423,The Jewel of Noida (Phase III) - Burj Noida,E HOMES INFRASTRUCTURE PVT LTD,Gautam Buddha Nagar,Residential
1022,UPRERAPRJ936659,The Jewel of Noida (Phase IV) - Avenues at Burj Noida,E HOMES INFRASTRUCTURE PVT LTD,Gautam Buddha Nagar,Commercial
1023,UPRERAPRJ710489/10/2025,The Monarque,Green Bay Infrastructure Private Limited,Gautam Buddha Nagar,Residential
1024,UPRERAPRJ5667,THE OASIS,PAN REALTORS PVT LTD,Gautam Buddha Nagar,Residential
1025,UPRERAPRJ180127,THE PARK STREET,IITL-NIMBUS THE EXPRESS PARK VIEW,Gautam Buddha Nagar,Commercial
1026,UPRERAPRJ298067/05/2025,The Peridona C-1 Jaypee Greens,CRC Greens Private Limited; JAIPRAKASH ASSOCIATES LIMITED,Gautam Buddha Nagar,Residential
1027,UPRERAPRJ987428,The Resident Tower,Hale Realtors Pvt. Ltd.,Gautam Buddha Nagar,Residential
1028,UPRERAPRJ145736,The Rivulet Phase-1,Grand Realtech Limited,Gautam Buddha Nagar,Residential
1029,UPRERAPRJ5748,THE ROMANO (PHASE-I),IVR PRIME DEVELOPERS (AVADI) PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1030,UPRERAPRJ5705,THE ROMANO (PHASE-II),IVR PRIME DEVELOPERS (AVADI) PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1031,UPRERAPRJ761382/10/2025,THE SEPHYRA,Imperia Structures Ltd,Gautam Buddha Nagar,Residential
1032,UPRERAPRJ2373,THE SUITES at Godrej Golf Links,AR LANDCRAFT LLP,Gautam Buddha Nagar,Commercial
1033,UPRERAPRJ14034,The TEMPEAN - Phase 1,AIMS SANYA DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1034,UPRERAPRJ14050,The TEMPEAN - Phase 2,AIMS SANYA DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1035,UPRERAPRJ12202,THREE PLATINUM SOFTECH PVT LTD ( HEARTBEAT CITY -1),DEEPAK KUMAR GARG,Gautam Buddha Nagar,Residential
1036,UPRERAPRJ13921,THREE PLATINUM SOFTECH PVT LTD (HEARTBEAT CITY -I ),DEEPAK KUMAR GARG,Gautam Buddha Nagar,Residential
1037,UPRERAPRJ780746,TO-DAY,AMA TOWERS LLP; LOGIX INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1038,UPRERAPRJ563533,TOWER 4,Wegmans Industries Pvt Ltd,Gautam Buddha Nagar,Commercial
1039,UPRERAPRJ513636,Towers I and J (R G Luxury Homes),Rajesh Projects (India) Pvt. Ltd,Gautam Buddha Nagar,Residential
1040,UPRERAPRJ448790,Towers K and L (R G Luxury Homes),Rajesh Projects (India) Pvt. Ltd,Gautam Buddha Nagar,Residential
1041,UPRERAPRJ7066,TOWN CENTRAL - PHASE-I,PKS BUILDMART PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1042,UPRERAPRJ7355,TOWN CENTRAL - PHASE-II,PKS BUILDMART PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1043,UPRERAPRJ7374,TOWN CENTRAL - PHASE-III,PKS BUILDMART PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1044,UPRERAPRJ230755/04/2025,TOWN SQUARE-1,MAHAVINAYAKA INFRAPROJECT PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1045,UPRERAPRJ283531,TRECENTO RESIDENCES-A,GOLF LAKE LLP,Gautam Buddha Nagar,Residential
1046,UPRERAPRJ6457,"Trident Embassy Phase-1 (TOWERS A,B,C,D,E,F)",Trident Infra homes pvt. ltd.,Gautam Buddha Nagar,Residential
1047,UPRERAPRJ6476,"Trident Embassy Phase-2 (Towers G,H, I)",Trident Infra homes pvt. ltd.,Gautam Buddha Nagar,Residential
1048,UPRERAPRJ6492,"Trident Embassy Phase-3 (Towers J,K,L & Comm)",Trident Infra homes pvt. ltd.,Gautam Buddha Nagar,Residential
1049,UPRERAPRJ785019,Trident Embassy Reso,Trident Infra homes pvt. ltd.,Gautam Buddha Nagar,Residential
1050,UPRERAPRJ3924,U:Fairia,Maheshwari Infratech Private Limited,Gautam Buddha Nagar,Commercial
1051,UPRERAPRJ3627,UCHDPL-Sector-15-Plots,Uppal Chadha Hi-Tech Developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
1052,UPRERAPRJ3692,UCHDPL-Sector-16-Plots,Uppal Chadha Hi-Tech Developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
1053,UPRERAPRJ3703,UCHDPL-Sector-17-Plots,Uppal Chadha Hi-Tech Developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
1054,UPRERAPRJ3716,UCHDPL-Sector-18-Plots,Uppal Chadha Hi-Tech Developers Pvt. Ltd.,Gautam Buddha Nagar,Residential
1055,UPRERAPRJ15830,Unibera Elite 70,UNIBERA DEVELOPERS PVT LTD,Gautam Buddha Nagar,Residential
1056,UPRERAPRJ2537,Unibera Towers,UNIBERA DEVELOPERS PVT LTD; SOLARIS INFRAPROJECTS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1057,UPRERAPRJ11339,unihomes Phase -1,"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra); UNITECH HI-TECH DEVELOPERS LIMITED",Gautam Buddha Nagar,Residential
1058,UPRERAPRJ11352,Unihomes Phase-2,"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra)",Gautam Buddha Nagar,Residential
1059,UPRERAPRJ11251,unihomes-3,"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra)",Gautam Buddha Nagar,Residential
1060,UPRERAPRJ11280,unitech Amber,Unitech Hi-tech Developers Limited,Gautam Buddha Nagar,Residential
1061,UPRERAPRJ11291,unitech Burgendy,Unitech Hi-tech Developers Limited,Gautam Buddha Nagar,Residential
1062,UPRERAPRJ11104,Unitech Cascade,"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra)",Gautam Buddha Nagar,Residential
1063,UPRERAPRJ11471,Unitech exquisite(phase-4),"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra)",Gautam Buddha Nagar,Residential
1064,UPRERAPRJ11443,UNITECH G&H,"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra)",Gautam Buddha Nagar,Residential
1065,UPRERAPRJ11153,Unitech Habitat,"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra)",Gautam Buddha Nagar,Residential
1066,UPRERAPRJ11368,Unitech Residences,"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra)",Gautam Buddha Nagar,Residential
1067,UPRERAPRJ11300,unitech willows,Unitech Hi-tech Developers Limited,Gautam Buddha Nagar,Residential
1068,UPRERAPRJ223203/04/2024,UNIVERSAL HUB 2,Galactic City Private Limited; ELEGANT IT SOLUTIONS PVT. LTD.,Gautam Buddha Nagar,Commercial
1069,UPRERAPRJ621735/05/2025,UNIWEST AERO HUB,UNIWEST INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1070,UPRERAPRJ872184/09/2024,UNIWEST HUB,UNIWEST INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
1071,UPRERAPRJ11357,Uniworld Garden,"Unitech Limited (Mr.Ramesh Chandra, Mr.Ajay Chandra,Mr.Sanjay Chandra)",Gautam Buddha Nagar,Residential
1072,UPRERAPRJ10900,Unnati Fortune World - Phase 1,IVR PRIME IT. SEZ PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1073,UPRERAPRJ10929,Unnati Fortune World - Phase 2,IVR PRIME IT. SEZ PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1074,UPRERAPRJ6110,Urbainia Trinity NX (phase 1),Avdesh Infotech Pvt Ltd/Urbainia Spaces Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1075,UPRERAPRJ6259,Urbainia Trinity NX (phase II),Avdesh Infotech Pvt Ltd/Urbainia Spaces Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1076,UPRERAPRJ6307,Urbainia Trinity NX (phase III),Avdesh Infotech Pvt Ltd/Urbainia Spaces Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1077,UPRERAPRJ6886,UTC Softech,UTC Softech Private Limited,Gautam Buddha Nagar,Commercial
1078,UPRERAPRJ2779,VAIBHAV HERITAGE HEIGHT,B S BUILDTECH,Gautam Buddha Nagar,Residential
1079,UPRERAPRJ13284,Vardhman Alfa Square,VARDHMAN INFRADEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1080,UPRERAPRJ7416,VARDHMAN ETA RESIDENCY,VARDHMAN REALTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1081,UPRERAPRJ13282,VARDHMAN i VALLEY,VARDHMAN ESTATES & DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
1082,UPRERAPRJ7699,"Vedantam Phase 1 (Tower E1, E2, D1, B2 & A)",RADICON INFRASTRUCTURE & HOUSING PVT LTD,Gautam Buddha Nagar,Residential
1083,UPRERAPRJ7730,"Vedantam Phase-2( Tower B1, C2 & C1)",RADICON INFRASTRUCTURE & HOUSING PVT LTD,Gautam Buddha Nagar,Residential
1084,UPRERAPRJ7738,Vedantam Phase-3(Tower D2F & G),RADICON INFRASTRUCTURE & HOUSING PVT LTD,Gautam Buddha Nagar,Residential
1085,UPRERAPRJ332663,VICTORY ACE,DREAM PROCON PRIVATE LIMITED; LOGIX CITY DEVELOPERS PVT.LTD.,Gautam Buddha Nagar,Residential
1086,UPRERAPRJ6187,VICTORYONE AMARA,RUDRA BUILDWELL INFRA PVT. LTD.,Gautam Buddha Nagar,Residential
1087,UPRERAPRJ5889,VICTORYONE CENTRAL,Intellect Projects Pvt. Ltd.,Gautam Buddha Nagar,Residential
1088,UPRERAPRJ14566,VIHAAN GOLF BAY(Phase 1),EMERALD PROMOTERS PVT. LTD.,Gautam Buddha Nagar,Residential
1089,UPRERAPRJ11932,VIHAAN GREENS,VIHAAN DEVELOPERS PVT. LTD,Gautam Buddha Nagar,Residential
1090,UPRERAPRJ14841,Viva City,VIVACITY CREATORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1091,UPRERAPRJ14359,VR Homes,VR Projects Private Limited,Gautam Buddha Nagar,Residential
1092,UPRERAPRJ600767/11/2024,VVIP ADDRESSES GREATER NOIDA (WEST),Vibhor Vaibhav infrahome Pvt. Ltd.; LOTUS SRS BUILDTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1093,UPRERAPRJ3390,VVIP HOMES PH 1,SOLITAIRE INFRAHOME PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1094,UPRERAPRJ3977,VVIP HOMES PH 2,SOLITAIRE INFRAHOME PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1095,UPRERAPRJ677791/02/2026,VVIP YAMUNA,VVIP INFRAHOME PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1096,UPRERAPRJ6673,Wegmans Signature Tower,Wegmans Industries Pvt Ltd,Gautam Buddha Nagar,Commercial
1097,UPRERAPRJ7722,White House Apartments,Vocational Education Foundation,Gautam Buddha Nagar,Residential
1098,UPRERAPRJ4198,white orchid,TOWN PARK BUILDCON PRIVATE LIMITED,Gautam Buddha Nagar,Residential
1099,UPRERAPRJ16712,Windsor at Godrej Golf Links,AR LANDCRAFT LLP,Gautam Buddha Nagar,Commercial
1100,UPRERAPRJ5008,Winsten Park Phase-1,SKV Infotech Private Limited,Gautam Buddha Nagar,Commercial
1101,UPRERAPRJ9566,"WINSTEN PARK, PHASE-II",SKV Infotech Private Limited,Gautam Buddha Nagar,Commercial
1102,UPRERAPRJ11430,WINSTEN PARK-III,SKV Infotech Private Limited,Gautam Buddha Nagar,Commercial
1103,UPRERAPRJ5489,WMCC-2B,Wave Megacity Centre Pvt. Ltd.,Gautam Buddha Nagar,Residential
1104,UPRERAPRJ3011,WMCC-2D,Wave Megacity Centre Pvt. Ltd.,Gautam Buddha Nagar,Residential
1105,UPRERAPRJ3337,WMCC-3E,Wave Megacity Centre Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1106,UPRERAPRJ6653,WMCC-3L-PHASE I,Wave Megacity Centre Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1107,UPRERAPRJ6690,WMCC-3L-PHASE II,Wave Megacity Centre Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1108,UPRERAPRJ15804,WonderHomes,Dreamkraft Infrastructure Pvt Ltd,Gautam Buddha Nagar,Residential
1109,UPRERAPRJ3444,WOPL-WONE,Wave One Private Limited,Gautam Buddha Nagar,Commercial
1110,UPRERAPRJ6567,World of Taste,Imperia Structures Ltd,Gautam Buddha Nagar,Commercial
1111,UPRERAPRJ3504,WTC Noida,WTC Noida Development Company Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1112,UPRERAPRJ17623,WTC NOIDA CBD,WTC Noida Development Company Pvt Ltd,Gautam Buddha Nagar,Commercial
1113,UPRERAPRJ3373,WTC Noida- Cubit,WTC Noida Development Company Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1114,UPRERAPRJ3472,WTC Noida- One E,WTC Noida Development Company Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1115,UPRERAPRJ3357,WTC Noida- Quad,WTC Noida Development Company Pvt. Ltd.,Gautam Buddha Nagar,Residential
1116,UPRERAPRJ3158,WTC Noida- Riverside Residences,Spire Techpark Pvt. Ltd.,Gautam Buddha Nagar,Commercial
1117,UPRERAPRJ10104,XT01 SECTOR-3,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
1118,UPRERAPRJ892259,Yamuna City Mall,Wall Rock Developers LLP,Gautam Buddha Nagar,Commercial
1119,UPRERAPRJ17620,YOO NOIDA PHASE 1,BRICK TOWN DEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
