sno,registration_no,project_name,promoter_name,district,project_type
842,UPRERAPRJ295718,Rise Sports Villas,RISE PROJECTS PVT LTD; EUPHORIA SPORTS CITY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
843,UPRERAPRJ621633,"Rise Sports Villas , Super 30 Villas",RISE PROJECTS PVT LTD; EUPHORIA SPORTS CITY PRIVATE LIMITED,Gautam Buddha Nagar,Residential
844,UPRERAPRJ341534,"RISE SQUARE - PALM STREET, MADISON SQUARE, BROADWAY STREET",RISE PROJECTS PVT LTD; EUPHORIA SPORTS CITY PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
845,UPRERAPRJ15115,ROYAL AVENUE,Royal Avenue,Gautam Buddha Nagar,Residential
846,UPRERAPRJ3386,ROYAL COURT,Strategic Developers Private Limited,Gautam Buddha Nagar,Residential
847,UPRERAPRJ11617,ROYAL GREEN,MITRA SAHKARI AWAS SAMITI,Gautam Buddha Nagar,Residential
848,UPRERAPRJ9608,Royal Nest,M/S OMKAR NESTS PVT. LTD.,Gautam Buddha Nagar,Residential
849,UPRERAPRJ7023,ROYAL RESIDENCY,RAKESH YADAV,Gautam Buddha Nagar,Residential
850,UPRERAPRJ738675,ROYAL WALKWAY,VIDHI INFRABUILD PRIVATE LIMITED; VARDHMAN INFRABUILD PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
851,UPRERAPRJ146610,RPS 05/2021,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
852,UPRERAPRJ10056,RPS-01 SECTOR-2,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
853,UPRERAPRJ282078,"RPS01,RRPS01 AND RRPS02 (SECTOR 18 AND 20) ,YEIDA",Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
854,UPRERAPRJ10826,RPS-02 ZETA-2,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
855,UPRERAPRJ8756,"RPS-02, SEC-22D",Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
856,UPRERAPRJ552003,RPS-04/2021,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
857,UPRERAPRJ985835,RPS-06/2022,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
858,UPRERAPRJ563740,RPS07/2023,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
859,UPRERAPRJ653132/10/2024,RPS08/2024,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
860,UPRERAPRJ103634/04/2025,RPS09/2025,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
861,UPRERAPRJ307764/03/2026,RPS10/2025,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
862,UPRERAPRJ205883,RRPS -04/2020,Yamuna Expressway Industrial devlopment Authority,Gautam Buddha Nagar,Residential
863,UPRERAPRJ6649,RUDRA AQUACASA,RUDRA BUILDWELL HOMES PRIVATE LIMITED; STARARENA BUILDERS LLP,Gautam Buddha Nagar,Residential
864,UPRERAPRJ7895,RUDRA PALACE HEIGHTS,RUDRA BUILDWELL PROJECTS PRIVATE LIMITED; MILAN INFRASTRUCTURES AND DEVELOPERS PRIVATE LIMIT,Gautam Buddha Nagar,Residential
865,UPRERAPRJ7180,RUDRA UNO,APACE BUILDTECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
866,UPRERAPRJ7228,RYNE,PRIMROSE INFRATECH P LTD,Gautam Buddha Nagar,Residential
867,UPRERAPRJ16456,SAI HOME II,SAIDRISHTI HOMES LLP,Gautam Buddha Nagar,Residential
868,UPRERAPRJ6740,Samajwadi Awas Yojana/ Mukhyamantri Awas Yojana,NEW OKHLA INDUSTRIAL DEVELOPMENT AUTHORITY,Gautam Buddha Nagar,Residential
869,UPRERAPRJ5855,Sampada Livia(De-Registered Project),PSA IMPEX PRIVATE LIMITED,Gautam Buddha Nagar,Residential
870,UPRERAPRJ155408,Samridhi Daksh Avenue,SAMRIDHI BUILDMART PRIVATE LIMITED,Gautam Buddha Nagar,Residential
871,UPRERAPRJ2634,SAMRIDHI GRAND AVENUE,SAMRIDHI REALTY HOMES PRIVATE LIMITED,Gautam Buddha Nagar,Residential
872,UPRERAPRJ1746,SAMRIDHI LUXURIYA AVENUE,SAMRIDHI INFRA SQUARE PRIVATE LIMITED,Gautam Buddha Nagar,Residential
873,UPRERAPRJ15733,SARA HOMES 2,FURKAN,Gautam Buddha Nagar,Residential
874,UPRERAPRJ15503,SATTYAM COMPLEX,PRO INFRA REAL PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
875,UPRERAPRJ945505,SATYAM GALLERIA,PRO INFRAREAL PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
876,UPRERAPRJ633750,SAVVIOUR MANOHARRAM,SAVIOUR INFRA PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
877,UPRERAPRJ320171,SAWASDEE JLG GALLERIA,JLG Properties Private Limited,Gautam Buddha Nagar,Commercial
878,UPRERAPRJ364061,SAYA PIAZZA,RGB INFRA LLP,Gautam Buddha Nagar,Commercial
879,UPRERAPRJ17950,Saya South X,Forever Infrabuild India LLP,Gautam Buddha Nagar,Commercial
880,UPRERAPRJ11141,SAYA STATUS (Formerly OH MY GOD),Saya Cementation Limited; ALISA INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
881,UPRERAPRJ869,Saya Zion,Saya Buildcon Consortium Pvt. Ltd.,Gautam Buddha Nagar,Residential
882,UPRERAPRJ6357,"SETHI VENICE PHASE I (TOWER A , B , L , M , CONVEN",ESTHETIC BUILDTECH PVT. LTD.,Gautam Buddha Nagar,Residential
883,UPRERAPRJ351670/07/2024,SHAGUN CITY CENTER,SHAGUN MART LLP,Gautam Buddha Nagar,Commercial
884,UPRERAPRJ5819,SHIVALIK HOMES 2,COSMOS INFRAESTATE PVT. LTD.; EELEVATES INFRATECH PRIVATE LIMITED,Gautam Buddha Nagar,Residential
885,UPRERAPRJ9823,Shivam Plaza,ISP CONSTRUCTION PVT LTD,Gautam Buddha Nagar,Commercial
886,UPRERAPRJ15721,SHREE SHYAM APARTMENT,surendra singh,Gautam Buddha Nagar,Residential
887,UPRERAPRJ15718,SHREE SHYAM APARTMENT-2,surendra singh,Gautam Buddha Nagar,Residential
888,UPRERAPRJ7477,Shri Radha Aqua Gardens,Decent Buildwell Pvt. Ltd.,Gautam Buddha Nagar,Residential
889,UPRERAPRJ7482,Shri Radha Sky Gardens Phase-1,SJP Infracon Limited,Gautam Buddha Nagar,Residential
890,UPRERAPRJ12851,SHRI RADHA SKY PARK (SKY GARDENS PHASE-2),SJP Infracon Limited; HAWELIA REALTORS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
891,UPRERAPRJ12436,Shubhkamna City,SHUBHKAMNA BUILDTECH PVT. LTD.,Gautam Buddha Nagar,Residential
892,UPRERAPRJ12432,Shubhkamna tecHOMES,SHUBHKAMNA BUILDTECH PVT. LTD.,Gautam Buddha Nagar,Residential
893,UPRERAPRJ422327/10/2024,SIGNATURE PARK,R.S. RESOURCE MANAGEMENT CONSULTING PRIVATE LIMITED,Gautam Buddha Nagar,Mixed
894,UPRERAPRJ5596,SIKKA KAAMNA GREENS,KINDLE INFRAHEIGHTS PRIVATE LIMITED,Gautam Buddha Nagar,Residential
